aalen:	('aalɛnɛm', 'N;INS;SG')
	('a b ɔ n ɛ n t a mʲ i', 'N;INS;PL')
	('a b ɔ n ɛ n t a', 'N;ACC;SG')
	('a b ɔ n ɛ n t a', 'N;GEN;SG')
	('a b ɔ n ɛ n t ɛ m', 'N;INS;SG')
	('a b ɔ n ɛ n t', 'N;NOM;SG')
	('a b ɔ n ɛ n t ɔ m', 'N;DAT;PL')
	('a b ɔ n ɛ n t ɔ vʲ i', 'N;DAT;SG')
	('a b ɔ n ɛ n t u f', 'N;ACC;PL')
	('a b ɔ n ɛ n t u f', 'N;GEN;PL')
abonowanie:	('a b ɔ n ɔ v a ɲ a', 'N;GEN;SG')
	('a b ɔ n ɔ v a ɲ ɛ m', 'N;INS;SG')
	('a b ɔ n ɔ v a ɲ ɛ', 'N;ACC;SG')
	('a b ɔ n ɔ v a ɲ ɛ', 'N;NOM;SG')
	('a b ɔ n ɔ v a ɲ ɛ', 'N;VOC;SG')
	('a b ɔ n ɔ v a ɲ u', 'N;DAT;SG')
	('a b ɔ n ɔ v a ɲ u', 'N;ESS;SG')
aborcja:	('a b ɔ r t͡s j a x', 'N;ESS;PL')
	('a b ɔ r t͡s j a mʲ i', 'N;INS;PL')
	('a b ɔ r t͡s j ɔ̃', 'N;INS;SG')
	('a b ɔ r t͡s j a', 'N;NOM;SG')
	('a b ɔ r t͡s j ɛ', 'N;ACC;PL')
	('a b ɔ r t͡s j ɛ', 'N;ACC;SG')
	('a b ɔ r t͡s j ɛ', 'N;NOM;PL')
	('a b ɔ r t͡s j ɛ', 'N;VOC;PL')
	('a b ɔ r t͡s j i', 'N;DAT;SG')
	('a b ɔ r t͡s j i', 'N;ESS;SG')
	('a b ɔ r t͡s j i', 'N;GEN;PL')
	('a b ɔ r t͡s j i', 'N;GEN;SG')
	('a b ɔ r t͡s j ɔ m', 'N;DAT;PL')
	('a b ɔ r t͡s j ɔ', 'N;VOC;SG')
absolwent:	('a p s ɔ l v ɛ n t͡ɕ ɛ', 'N;ESS;SG')
	('a p s ɔ l v ɛ n t͡ɕ ɛ', 'N;VOC;SG')
	('a p s ɔ l v ɛ n t͡ɕ i', 'N;NOM;PL')
	('a p s ɔ l v ɛ n t͡ɕ i', 'N;VOC;PL')
	('a p s ɔ l v ɛ n t a x', 'N;ESS;PL')
	('a p s ɔ l v ɛ n t a mʲ i', 'N;INS;PL')
	('a p s ɔ l v ɛ n t a', 'N;ACC;SG')
	('a p s ɔ l v ɛ n t a', 'N;GEN;SG')
	('a p s ɔ l v ɛ n t ɛ m', 'N;INS;SG')
	('a p s ɔ l v ɛ n t', 'N;NOM;SG')
	('a p s ɔ l v ɛ n t ɔ m', 'N;DAT;PL')
	('a p s ɔ l v ɛ n t ɔ vʲ i', 'N;DAT;SG')
	('a p s ɔ l v ɛ n t u f', 'N;ACC;PL')
	('a p s ɔ l v ɛ n t u f', 'N;GEN;PL')
absolwentka:	('a p s ɔ l v ɛ n t t͡s ɛ', 'N;DAT;SG')
	('a p s ɔ l v ɛ n t t͡s ɛ', 'N;ESS;SG')
	('a p s ɔ l v ɛ n t ɛ k', 'N;GEN;PL')
	('a p s ɔ l v ɛ n t k a x', 'N;ESS;PL')
	('a p s ɔ l v ɛ n t k a mʲ i', 'N;INS;PL')
	('a p s ɔ l v ɛ n t k ɔ̃', 'N;INS;SG')
	('a p s ɔ l v ɛ n t k a', 'N;NOM;SG')
	('a p s ɔ l v ɛ n t k ɛ', 'N;ACC;SG')
	('a p s ɔ l v ɛ n t kʲ i', 'N;ACC;PL')
	('a p s ɔ l v ɛ n t kʲ i', 'N;GEN;SG')
	('a p s ɔ l v ɛ n t kʲ i', 'N;NOM;PL')
	('a p s ɔ l v ɛ n t kʲ i', 'N;VOC;PL')
	('a p s ɔ l v ɛ n t k ɔ m', 'N;DAT;PL')
	('a p s ɔ l v ɛ n t k ɔ', 'N;VOC;SG')
absorpcja:	('a p s ɔ r p t͡s j a x', 'N;ESS;PL')
	('a p s ɔ r p t͡s j a mʲ i', 'N;INS;PL')
	('a p s ɔ r p t͡s j ɔ̃', 'N;INS;SG')
	('a p s ɔ r p t͡s j a', 'N;NOM;SG')
	('a p s ɔ r p t͡s j ɛ', 'N;ACC;PL')
	('a p s ɔ r p t͡s j ɛ', 'N;ACC;SG')
	('a p s ɔ r p t͡s j ɛ', 'N;NOM;PL')
	('a p s ɔ r p t͡s j ɛ', 'N;VOC;PL')
	('a p s ɔ r p t͡s j i', 'N;DAT;SG')
	('a p s ɔ r p t͡s j i', 'N;ESS;SG')
	('a p s ɔ r p t͡s j i', 'N;GEN;PL')
	('a p s ɔ r p t͡s j i', 'N;GEN;SG')
	('a p s ɔ r p t͡s j ɔ m', 'N;DAT;PL')
	('a p s ɔ r p t͡s j ɔ', 'N;VOC;SG')
abstrakcja:	('a p s t r a k t͡s j a x', 'N;ESS;PL')
	('a p s t r a k t͡s j a mʲ i', 'N;INS;PL')
	('a p s t r a k t͡s j ɔ̃', 'N;INS;SG')
	('a p s t r a k t͡s j a', 'N;NOM;SG')
	('a p s t r a k t͡s j ɛ', 'N;ACC;PL')
	('a p s t r a k t͡s j ɛ', 'N;ACC;SG')
	('a p s t r a k t͡s j ɛ', 'N;NOM;PL')
	('a p s t r a k t͡s j ɛ', 'N;VOC;PL')
	('a p s t r a k t͡s j i', 'N;DAT;SG')
	('a p s t r a k t͡s j i', 'N;ESS;SG')
	('a p s t r a k t͡s j i', 'N;GEN;PL')
	('a p s t r a k t͡s j i', 'N;GEN;SG')
	('a p s t r a k t͡s j ɔ m', 'N;DAT;PL')
	('a p s t r a k t͡s j ɔ', 'N;VOC;SG')
abstynencja:	('a p s t ɨ n ɛ n t͡s j a x', 'N;ESS;PL')
	('a p s t ɨ n ɛ n t͡s j a mʲ i', 'N;INS;PL')
	('a p s t ɨ n ɛ n t͡s j ɔ̃', 'N;INS;SG')
	('a p s t ɨ n ɛ n t͡s j a', 'N;NOM;SG')
	('a p s t ɨ n ɛ n t͡s j ɛ', 'N;ACC;PL')
	('a p s t ɨ n ɛ n t͡s j ɛ', 'N;ACC;SG')
	('a p s t ɨ n ɛ n t͡s j ɛ', 'N;NOM;PL')
	('a p s t ɨ n ɛ n t͡s j ɛ', 'N;VOC;PL')
	('a p s t ɨ n ɛ n t͡s j i', 'N;DAT;SG')
	('a p s t ɨ n ɛ n t͡s j i', 'N;ESS;SG')
	('a p s t ɨ n ɛ n t͡s j i', 'N;GEN;PL')
	('a p s t ɨ n ɛ n t͡s j i', 'N;GEN;SG')
	('a p s t ɨ n ɛ n t͡s j ɔ m', 'N;DAT;PL')
	('a p s t ɨ n ɛ n t͡s j ɔ', 'N;VOC;SG')
abstynent:	('a p s t ɨ n ɛ n t͡ɕ ɛ', 'N;ESS;SG')
	('a p s t ɨ n ɛ n t͡ɕ ɛ', 'N;VOC;SG')
	('a p s t ɨ n ɛ n t͡ɕ i', 'N;NOM;PL')
	('a p s t ɨ n ɛ n t͡ɕ i', 'N;VOC;PL')
	('a p s t ɨ n ɛ n t a x', 'N;ESS;PL')
	('a p s t ɨ n ɛ n t a mʲ i', 'N;INS;PL')
	('a p s t ɨ n ɛ n t a', 'N;ACC;SG')
	('a p s t ɨ n ɛ n t a', 'N;GEN;SG')
	('a p s t ɨ n ɛ n t ɛ m', 'N;INS;SG')
	('a p s t ɨ n ɛ n t', 'N;NOM;SG')
	('a p s t ɨ n ɛ n t ɔ m', 'N;DAT;PL')
	('a p s t ɨ n ɛ n t ɔ vʲ i', 'N;DAT;SG')
	('a p s t ɨ n ɛ n t u f', 'N;ACC;PL')
	('a p s t ɨ n ɛ n t u f', 'N;GEN;PL')
absurd:	('a p s u r d a x', 'N;ESS;PL')
	('a p s u r d a mʲ i', 'N;INS;PL')
	('a p s u r d ɛ m', 'N;INS;SG')
	('a p s u r t', 'N;ACC;SG')
	('a p s u r t', 'N;NOM;SG')
	('a p s u r d ɔ m', 'N;DAT;PL')
	('a p s u r d ɔ vʲ i', 'N;DAT;SG')
	('a p s u r d u f', 'N;GEN;PL')
	('a p s u r d u', 'N;GEN;SG')
	('a p s u r d ɨ', 'N;ACC;PL')
	('a p s u r d ɨ', 'N;NOM;PL')
	('a p s u r d ɨ', 'N;VOC;PL')
	('a p s u r d͡ʑ ɛ', 'N;ESS;SG')
	('a p s u r d͡ʑ ɛ', 'N;VOC;SG')
absurdyzm:	('a p s u r d ɨ z m ɛ m', 'N;INS;SG')
	('a p s u r d ɨ z mʲ ɛ', 'N;ESS;SG')
	('a p s u r d ɨ z mʲ ɛ', 'N;VOC;SG')
	('a p s u r d ɨ z m', 'N;ACC;SG')
	('a p s u r d ɨ z m', 'N;NOM;SG')
	('a p s u r d ɨ z m ɔ vʲ i', 'N;DAT;SG')
	('a p s u r d ɨ z m u', 'N;GEN;SG')
absynt:	('a p s ɨ n t͡ɕ ɛ', 'N;ESS;SG')
	('a p s ɨ n t͡ɕ ɛ', 'N;VOC;SG')
	('a p s ɨ n t a x', 'N;ESS;PL')
	('a p s ɨ n t a mʲ i', 'N;INS;PL')
	('a p s ɨ n t ɛ m', 'N;INS;SG')
	('a p s ɨ n t', 'N;ACC;SG')
	('a p s ɨ n t', 'N;NOM;SG')
	('a p s ɨ n t ɔ m', 'N;DAT;PL')
	('a p s ɨ n t ɔ vʲ i', 'N;DAT;SG')
	('a p s ɨ n t u f', 'N;GEN;PL')
	('a p s ɨ n t u', 'N;GEN;SG')
	('a p s ɨ n t ɨ', 'N;ACC;PL')
	('a p s ɨ n t ɨ', 'N;NOM;PL')
	('a p s ɨ n t ɨ', 'N;VOC;PL')
aceton:	('a t͡s ɛ t ɔ n a x', 'N;ESS;PL')
	('a t͡s ɛ t ɔ n a mʲ i', 'N;INS;PL')
	('a t͡s ɛ t ɔ n ɛ m', 'N;INS;SG')
	('a t͡s ɛ t ɔ ɲ ɛ', 'N;ESS;SG')
	('a t͡s ɛ t ɔ ɲ ɛ', 'N;VOC;SG')
	('a t͡s ɛ t ɔ n', 'N;ACC;SG')
	('a t͡s ɛ t ɔ n', 'N;NOM;SG')
	('a t͡s ɛ t ɔ n ɔ m', 'N;DAT;PL')
	('a t͡s ɛ t ɔ n ɔ vʲ i', 'N;DAT;SG')
	('a t͡s ɛ t ɔ n u f', 'N;GEN;PL')
	('a t͡s ɛ t ɔ n u', 'N;GEN;SG')
	('a t͡s ɛ t ɔ n ɨ', 'N;ACC;PL')
	('a t͡s ɛ t ɔ n ɨ', 'N;NOM;PL')
	('a t͡s ɛ t ɔ n ɨ', 'N;VOC;PL')
achromatopsja:	('a x r ɔ m a t ɔ p s j ɔ̃', 'N;INS;SG')
	('a x r ɔ m a t ɔ p s j a', 'N;NOM;SG')
	('a x r ɔ m a t ɔ p s j ɛ', 'N;ACC;SG')
	('a x r ɔ m a t ɔ p s j i', 'N;DAT;SG')
	('a x r ɔ m a t ɔ p s j i', 'N;ESS;SG')
	('a x r ɔ m a t ɔ p s j i', 'N;GEN;SG')
	('a x r ɔ m a t ɔ p s j ɔ', 'N;VOC;SG')
adapter:	('a d a p t ɛ r a x', 'N;ESS;PL')
	('a d a p t ɛ r a mʲ i', 'N;INS;PL')
	('a d a p t ɛ r a', 'N;GEN;SG')
	('a d a p t ɛ r ɛ m', 'N;INS;SG')
	('a d a p t ɛ r', 'N;ACC;SG')
	('a d a p t ɛ r', 'N;NOM;SG')
	('a d a p t ɛ r ɔ m', 'N;DAT;PL')
	('a d a p t ɛ r ɔ vʲ i', 'N;DAT;SG')
	('a d a p t ɛ r u f', 'N;GEN;PL')
	('a d a p t ɛ r ɨ', 'N;ACC;PL')
	('a d a p t ɛ r ɨ', 'N;NOM;PL')
	('a d a p t ɛ r ɨ', 'N;VOC;PL')
	('a d a p t ɛ ʐ ɛ', 'N;ESS;SG')
	('a d a p t ɛ ʐ ɛ', 'N;VOC;SG')
adept:	('a d ɛ p t͡ɕ ɛ', 'N;ESS;SG')
	('a d ɛ p t͡ɕ ɛ', 'N;VOC;SG')
	('a d ɛ p t͡ɕ i', 'N;NOM;PL')
	('a d ɛ p t͡ɕ i', 'N;VOC;PL')
	('a d ɛ p t a x', 'N;ESS;PL')
	('a d ɛ p t a mʲ i', 'N;INS;PL')
	('a d ɛ p t a', 'N;ACC;SG')
	('a d ɛ p t a', 'N;GEN;SG')
	('a d ɛ p t ɛ m', 'N;INS;SG')
	('a d ɛ p t', 'N;NOM;SG')
	('a d ɛ p t ɔ m', 'N;DAT;PL')
	('a d ɛ p t ɔ vʲ i', 'N;DAT;SG')
	('a d ɛ p t u f', 'N;ACC;PL')
	('a d ɛ p t u f', 'N;GEN;PL')
adiutant:	('a d j u t a n t͡ɕ ɛ', 'N;ESS;SG')
	('a d j u t a n t͡ɕ ɛ', 'N;VOC;SG')
	('a d j u t a n t͡ɕ i', 'N;NOM;PL')
	('a d j u t a n t͡ɕ i', 'N;VOC;PL')
	('a d j u t a n t a x', 'N;ESS;PL')
	('a d j u t a n t a mʲ i', 'N;INS;PL')
	('a d j u t a n t a', 'N;ACC;SG')
	('a d j u t a n t a', 'N;GEN;SG')
	('a d j u t a n t ɛ m', 'N;INS;SG')
	('a d j u t a n t', 'N;NOM;SG')
	('a d j u t a n t ɔ m', 'N;DAT;PL')
	('a d j u t a n t ɔ vʲ i', 'N;DAT;SG')
	('a d j u t a n t u f', 'N;ACC;PL')
	('a d j u t a n t u f', 'N;GEN;PL')
administracja:	('a d mʲ i ɲ i s t r a t͡s j a x', 'N;ESS;PL')
	('a d mʲ i ɲ i s t r a t͡s j a mʲ i', 'N;INS;PL')
	('a d mʲ i ɲ i s t r a t͡s j ɔ̃', 'N;INS;SG')
	('a d mʲ i ɲ i s t r a t͡s j a', 'N;NOM;SG')
	('a d mʲ i ɲ i s t r a t͡s j ɛ', 'N;ACC;PL')
	('a d mʲ i ɲ i s t r a t͡s j ɛ', 'N;ACC;SG')
	('a d mʲ i ɲ i s t r a t͡s j ɛ', 'N;NOM;PL')
	('a d mʲ i ɲ i s t r a t͡s j ɛ', 'N;VOC;PL')
	('a d mʲ i ɲ i s t r a t͡s j i', 'N;DAT;SG')
	('a d mʲ i ɲ i s t r a t͡s j i', 'N;ESS;SG')
	('a d mʲ i ɲ i s t r a t͡s j i', 'N;GEN;PL')
	('a d mʲ i ɲ i s t r a t͡s j i', 'N;GEN;SG')
	('a d mʲ i ɲ i s t r a t͡s j ɔ m', 'N;DAT;PL')
	('a d mʲ i ɲ i s t r a t͡s j ɔ', 'N;VOC;SG')
administrator:	('a d mʲ i ɲ i s t r a t ɔ r a x', 'N;ESS;PL')
	('a d mʲ i ɲ i s t r a t ɔ r a mʲ i', 'N;INS;PL')
	('a d mʲ i ɲ i s t r a t ɔ r a', 'N;ACC;SG')
	('a d mʲ i ɲ i s t r a t ɔ r a', 'N;GEN;SG')
	('a d mʲ i ɲ i s t r a t ɔ r ɛ m', 'N;INS;SG')
	('a d mʲ i ɲ i s t r a t ɔ r', 'N;NOM;SG')
	('a d mʲ i ɲ i s t r a t ɔ r ɔ m', 'N;DAT;PL')
	('a d mʲ i ɲ i s t r a t ɔ r ɔ vʲ i', 'N;DAT;SG')
	('a d mʲ i ɲ i s t r a t ɔ r u f', 'N;ACC;PL')
	('a d mʲ i ɲ i s t r a t ɔ r u f', 'N;GEN;PL')
	('a d mʲ i ɲ i s t r a t ɔ ʐ ɛ', 'N;ESS;SG')
	('a d mʲ i ɲ i s t r a t ɔ ʐ ɛ', 'N;VOC;SG')
	('a d mʲ i ɲ i s t r a t ɔ ʐ ɨ', 'N;NOM;PL')
	('a d mʲ i ɲ i s t r a t ɔ ʐ ɨ', 'N;VOC;PL')
administratorka:	('a d mʲ i ɲ i s t r a t ɔ r t͡s ɛ', 'N;DAT;SG')
	('a d mʲ i ɲ i s t r a t ɔ r t͡s ɛ', 'N;ESS;SG')
	('a d mʲ i ɲ i s t r a t ɔ r ɛ k', 'N;GEN;PL')
